time_sec,joint_1,joint_2,joint_3,joint_4,joint_5,joint_6,joint_7,joint_8,joint_9,joint_10,joint_11,joint_12,joint_13,joint_14,joint_15,joint_16
0.0,195.90819860483302,174.2871118437526,95.624997965253,85.95702911964003,274.48243526947124,186.24022975922006,176.923824410566,171.21093124536227,271.6699272938001,188.08593811825426,176.83593353632628,174.55078446647178,273.7793082755535,186.67968413041868,178.94531451807964,171.91405823928005
0.01,195.90819860483302,174.2871118437526,95.624997965253,85.95702911964003,274.48243526947124,186.24022975922006,176.923824410566,171.21093124536227,271.6699272938001,188.08593811825426,176.83593353632628,174.55078446647178,273.7793082755535,186.67968413041868,178.94531451807964,171.91405823928005
0.02,195.90819860483302,174.2871118437526,95.624997965253,85.95702911964003,274.48243526947124,186.24022975922006,176.923824410566,171.21093124536227,271.6699272938001,188.08593811825426,176.83593353632628,174.55078446647178,273.7793082755535,186.67968413041868,178.94531451807964,171.91405823928005
0.03,195.90819860483302,174.2871118437526,95.624997965253,85.95702911964003,274.48243526947124,186.24022975922006,176.923824410566,171.21093124536227,271.6699272938001,188.08593811825426,176.83593353632628,174.55078446647178,273.7793082755535,186.67968413041868,178.94531451807964,171.91405823928005
0.04,195.90819860483302,174.2871118437526,95.624997965253,85.95702911964003,274.48243526947124,186.24022975922006,176.923824410566,171.21093124536227,271.6699272938001,188.08593811825426,176.83593353632628,174.55078446647178,273.7793082755535,186.67968413041868,178.94531451807964,171.91405823928005
0.05,195.90819860483302,174.2871118437526,95.624997965253,85.95702911964003,274.48243526947124,186.24022975922006,176.923824410566,171.21093124536227,271.6699272938001,188.08593811825426,176.83593353632628,174.55078446647178,273.7793082755535,186.67968413041868,178.94531451807964,171.91405823928005
0.06,195.90819860483302,174.2871118437526,95.624997965253,85.95702911964003,274.48243526947124,186.24022975922006,176.923824410566,171.21093124536227,271.6699272938001,188.08593811825426,176.83593353632628,174.55078446647178,273.7793082755535,186.67968413041868,178.94531451807964,171.91405823928005
0.07,195.90819860483302,174.2871118437526,95.624997965253,85.95702911964003,274.48243526947124,186.24022975922006,176.923824410566,171.21093124536227,271.6699272938001,188.08593811825426,176.83593353632628,174.55078446647178,273.7793082755535,186.67968413041868,178.94531451807964,171.91405823928005
0.08,195.90819860483302,174.2871118437526,95.624997965253,85.95702911964003,274.48243526947124,186.24022975922006,176.923824410566,171.21093124536227,271.6699272938001,188.08593811825426,176.83593353632628,174.55078446647178,273.7793082755535,186.67968413041868,178.94531451807964,171.91405823928005
0.09,195.90819860483302,174.2871118437526,95.624997965253,85.95702911964003,274.48243526947124,186.24022975922006,176.923824410566,171.21093124536227,271.6699272938001,188.08593811825426,176.83593353632628,174.55078446647178,273.7793082755535,186.67968413041868,178.94531451807964,171.91405823928005
0.1,195.90819860483302,174.2871118437526,95.624997965253,85.95702911964003,274.48243526947124,186.24022975922006,176.923824410566,171.21093124536227,271.6699272938001,188.08593811825426,176.83593353632628,174.55078446647178,273.7793082755535,186.67968413041868,178.94531451807964,171.91405823928005
0.11,195.90819860483302,174.2871118437526,95.624997965253,85.95702911964003,274.48243526947124,186.24022975922006,176.923824410566,171.21093124536227,271.6691749479166,188.08593811825426,176.83593353632628,174.55078446647178,273.7793082755535,186.67968413041868,178.94531451807964,171.91405823928005
0.12,195.90819860483302,174.2871118437526,95.624997965253,85.95702911964003,274.48243526947124,186.24022975922006,176.923824410566,171.21093124536227,271.66483665436414,188.08593811825426,176.83593353632628,174.55078446647178,273.7793082755535,186.67968413041868,178.94531451807964,171.91405823928005
0.13,195.90819860483302,174.2871118437526,95.624997965253,85.95702911964003,274.48243526947124,186.24022975922006,176.923824410566,171.21093124536227,271.65559405002904,188.08593811825426,176.83593353632628,174.55078446647178,273.7793082755535,186.67968413041868,178.94531451807964,171.91405823928005
0.14,195.90819860483302,174.2871118437526,95.624997965253,85.95702911964003,274.48243526947124,186.24022975922006,176.923824410566,171.21093124536227,271.64202721468143,188.08593811825426,176.83593353632628,174.55078446647178,273.7793082755535,186.67968413041868,178.94531451807964,171.91405823928005
0.15,195.90819860483302,174.2871118437526,95.624997965253,85.95702911964003,274.48243526947124,186.24022975922006,176.923824410566,171.21093124536227,271.62598185668026,188.08593811825426,176.83593353632628,174.55078446647178,273.7793082755535,186.67968413041868,178.94531451807964,171.91405823928005
0.16,195.90819860483302,174.2871118437526,95.624997965253,85.95702911964003,274.48243526947124,186.24022975922006,176.923824410566,171.21093124536227,271.609936498679,188.08593811825426,176.83593353632628,174.55078446647178,273.7793082755535,186.67968413041868,178.94531451807964,171.91405823928005
0.17,195.90819860483302,174.2871118437526,95.624997965253,85.95702911964003,274.48243526947124,186.24022975922006,176.923824410566,171.21093124536227,271.5963696633314,188.08593811825426,176.83593353632628,174.55078446647178,273.7793082755535,186.67968413041868,178.94531451807964,171.91405823928005
0.18,195.90819860483302,174.2871118437526,95.624997965253,85.95702911964003,274.48243526947124,186.24022975922006,176.923824410566,171.21093124536227,271.5871270589963,188.08593811825426,176.83593353632628,174.55078446647178,273.7793082755535,186.67968413041868,178.94531451807964,171.91405823928005
0.19,195.90819860483302,174.2871118437526,95.624997965253,85.95702911964003,274.48243526947124,186.24022975922006,176.923824410566,171.21093124536227,271.58278876544387,188.08593811825426,176.83593353632628,174.55078446647178,273.7793082755535,186.67968413041868,178.94531451807964,171.91405823928005
0.2,195.90819860483302,174.2871118437526,95.624997965253,85.95702911964003,274.48243526947124,186.24022975922006,176.923824410566,171.21093124536227,271.5820364195604,188.08593811825426,176.83593353632628,174.55078446647178,273.7793082755535,186.67968413041868,178.94531451807964,171.91405823928005
0.21,195.90819860483302,174.2871118437526,95.624997965253,85.95627677375653,274.48243526947124,186.24022975922006,176.923824410566,171.21093124536227,271.58278876544387,188.08518577237078,176.83593353632628,174.55078446647178,273.7793082755535,186.67968413041868,178.94531451807964,171.91405823928005
