joint_1,joint_2,joint_3,joint_4,joint_5,joint_6,joint_7,joint_8,joint_9,joint_10,joint_11,joint_12,joint_13,joint_14,joint_15,joint_16
2.420621633529663,2.1199615001678467,1.8668546676635742,1.3790487051010132,4.795223712921143,3.2781169414520264,3.011204242706299,3.164602279663086,4.749204635620117,3.3118646144866943,3.086369276046753,3.158466339111328,4.786020278930664,3.2781169414520264,3.1155149936676025,3.1461946964263916
2.420621633529663,2.1199615001678467,1.8668546676635742,1.3790487051010132,4.795223712921143,3.2781169414520264,3.0096702575683594,3.164602279663086,4.749204635620117,3.3118646144866943,3.086369276046753,3.158466339111328,4.786020278930664,3.2781169414520264,3.1155149936676025,3.1461946964263916
2.420621633529663,2.1199615001678467,1.8668546676635742,1.3790487051010132,4.795223712921143,3.2781169414520264,3.0096702575683594,3.164602279663086,4.749204635620117,3.3118646144866943,3.086369276046753,3.158466339111328,4.786020278930664,3.2781169414520264,3.1155149936676025,3.1461946964263916
2.420621633529663,2.1199615001678467,1.8668546676635742,1.3790487051010132,4.795223712921143,3.276582956314087,3.0096702575683594,3.164602279663086,4.749204635620117,3.3118646144866943,3.086369276046753,3.158466339111328,4.786020278930664,3.2781169414520264,3.1155149936676025,3.1461946964263916
2.420621633529663,2.1199615001678467,1.8668546676635742,1.3790487051010132,4.795223712921143,3.2781169414520264,3.0096702575683594,3.164602279663086,4.749204635620117,3.3118646144866943,3.086369276046753,3.158466339111328,4.786020278930664,3.2781169414520264,3.1155149936676025,3.1461946964263916
2.420621633529663,2.1199615001678467,1.8668546676635742,1.3790487051010132,4.795223712921143,3.2781169414520264,3.011204242706299,3.164602279663086,4.749204635620117,3.3118646144866943,3.086369276046753,3.158466339111328,4.786020278930664,3.2781169414520264,3.1155149936676025,3.1461946964263916
2.420621633529663,2.1199615001678467,1.8668546676635742,1.3790487051010132,4.795223712921143,3.276582956314087,3.011204242706299,3.164602279663086,4.749204635620117,3.3118646144866943,3.086369276046753,3.158466339111328,4.786020278930664,3.2781169414520264,3.1155149936676025,3.1461946964263916
2.420621633529663,2.1199615001678467,1.8668546676635742,1.3790487051010132,4.795223712921143,3.2781169414520264,3.011204242706299,3.164602279663086,4.749204635620117,3.3118646144866943,3.086369276046753,3.158466339111328,4.786020278930664,3.2781169414520264,3.1155149936676025,3.1461946964263916
2.420621633529663,2.1199615001678467,1.8668546676635742,1.3790487051010132,4.795223712921143,3.2781169414520264,3.0096702575683594,3.164602279663086,4.749204635620117,3.3118646144866943,3.086369276046753,3.158466339111328,4.786020278930664,3.2781169414520264,3.1155149936676025,3.1461946964263916
2.420621633529663,2.1199615001678467,1.8668546676635742,1.3790487051010132,4.795223712921143,3.2781169414520264,3.0096702575683594,3.164602279663086,4.749204635620117,3.3118646144866943,3.086369276046753,3.158466339111328,4.786020278930664,3.2781169414520264,3.1155149936676025,3.1461946964263916
