joint_1,joint_2,joint_3,joint_4,joint_5,joint_6,joint_7,joint_8,joint_9,joint_10,joint_11,joint_12,joint_13,joint_14,joint_15,joint_16
3.201417922973633,2.4451653957366943,1.874524474143982,1.2992817163467407,4.782952308654785,3.3057286739349365,3.1906800270080566,3.147728681564331,4.743068695068359,3.250505208969116,3.178408145904541,3.147728681564331,4.778350353240967,3.2781169414520264,3.1707382202148438,3.1385247707366943
3.201417922973633,2.4451653957366943,1.874524474143982,1.2992817163467407,4.782952308654785,3.3057286739349365,3.1906800270080566,3.147728681564331,4.743068695068359,3.250505208969116,3.178408145904541,3.147728681564331,4.776816368103027,3.2781169414520264,3.172272205352783,3.1385247707366943
3.201417922973633,2.4451653957366943,1.874524474143982,1.2992817163467407,4.782952308654785,3.3057286739349365,3.1906800270080566,3.147728681564331,4.743068695068359,3.2520391941070557,3.178408145904541,3.1461946964263916,4.778350353240967,3.2781169414520264,3.172272205352783,3.1385247707366943
3.201417922973633,2.4451653957366943,1.874524474143982,1.2992817163467407,4.782952308654785,3.3057286739349365,3.1906800270080566,3.147728681564331,4.743068695068359,3.250505208969116,3.178408145904541,3.147728681564331,4.778350353240967,3.2781169414520264,3.172272205352783,3.1385247707366943
3.201417922973633,2.4451653957366943,1.874524474143982,1.2992817163467407,4.782952308654785,3.3057286739349365,3.1906800270080566,3.147728681564331,4.743068695068359,3.2520391941070557,3.178408145904541,3.1492626667022705,4.776816368103027,3.2781169414520264,3.1707382202148438,3.1385247707366943
3.201417922973633,2.4451653957366943,1.874524474143982,1.2992817163467407,4.782952308654785,3.3057286739349365,3.1906800270080566,3.147728681564331,4.743068695068359,3.2520391941070557,3.178408145904541,3.1461946964263916,4.776816368103027,3.276582956314087,3.172272205352783,3.1385247707366943
3.201417922973633,2.4451653957366943,1.874524474143982,1.2992817163467407,4.782952308654785,3.3057286739349365,3.1906800270080566,3.147728681564331,4.743068695068359,3.2520391941070557,3.178408145904541,3.147728681564331,4.778350353240967,3.2781169414520264,3.1707382202148438,3.1385247707366943
3.201417922973633,2.4451653957366943,1.874524474143982,1.2992817163467407,4.782952308654785,3.3057286739349365,3.1906800270080566,3.147728681564331,4.743068695068359,3.250505208969116,3.178408145904541,3.147728681564331,4.776816368103027,3.2781169414520264,3.172272205352783,3.1385247707366943
3.201417922973633,2.4451653957366943,1.874524474143982,1.2992817163467407,4.782952308654785,3.3057286739349365,3.1906800270080566,3.147728681564331,4.743068695068359,3.250505208969116,3.178408145904541,3.147728681564331,4.776816368103027,3.2781169414520264,3.172272205352783,3.1385247707366943
3.201417922973633,2.4451653957366943,1.874524474143982,1.2992817163467407,4.782952308654785,3.3057286739349365,3.1906800270080566,3.147728681564331,4.743068695068359,3.2520391941070557,3.178408145904541,3.147728681564331,4.776816368103027,3.2781169414520264,3.172272205352783,3.1385247707366943
3.201417922973633,2.4451653957366943,1.874524474143982,1.2992817163467407,4.782952308654785,3.3057286739349365,3.1906800270080566,3.147728681564331,4.743068695068359,3.2520391941070557,3.178408145904541,3.147728681564331,4.778350353240967,3.2781169414520264,3.172272205352783,3.1385247707366943
3.201417922973633,2.4451653957366943,1.874524474143982,1.2992817163467407,4.782952308654785,3.3057286739349365,3.1906800270080566,3.147728681564331,4.743068695068359,3.2520391941070557,3.178408145904541,3.147728681564331,4.778350353240967,3.2781169414520264,3.172272205352783,3.1385247707366943
